restlessness,speech_speed,eye_contact_breaks,facial_strain,multitasking,hours_of_sleep,caffeine_intake,sleep_caffeine_interaction,anxiety_score_target,topic_drift,logical_confusion,overwhelmed_by_tasks,mood_shifts,instability_symptom_count,stability_target,contradiction,timeline_inconsistency,cognitive_pauses,over_rehearsed_responses,stress_smiles,body_language_contradiction,contradiction_and_pause,integrity_score_target,observer_gut_feeling,persona
1,normal,15.5,1,0,5.081726904759799,3.0,1.5204317261899498,5.818453280769683,1,0,0,0,1,Stable,1,1,1,0,0,1,1,0.0,Bad,deceptive
0,slow,17.0,1,0,3.14578212192818,5.0,0.69096368698803,9.459571623335112,0,1,0,0,1,Stable,1,0,0,0,0,0,0,98.60915812154133,Good,anxious_honest
0,fast,16.0,1,1,4.492020453074246,2.0,1.8306734843580819,8.725004626351172,0,0,0,0,0,Unstable,0,0,0,0,0,0,0,75.09370452011702,Good,anxious_honest
1,normal,20.0,1,0,3.0,5.0,0.6666666666666666,10.0,0,0,0,0,0,Stable,0,1,0,0,0,1,0,77.91014935885235,Bad,trauma_survivor
1,normal,10.5,0,0,5.128896009533938,3.0,1.5322240023834846,6.004110689202812,0,0,0,0,0,Stable,1,1,1,1,1,1,1,6.22520798772763,Bad,deceptive
1,normal,4.5,0,1,7.942839723696841,3.0,2.2357099309242106,0.5872776641479245,0,0,0,0,0,Stable,0,0,0,0,0,0,0,74.86956678215829,Good,low_risk
0,fast,9.5,1,1,4.243719941354211,3.0,1.3109299853385528,8.927731429644748,0,0,1,0,1,Unstable,1,1,0,1,0,1,0,11.55528005910104,Bad,deceptive
1,normal,20.0,1,0,3.0,4.0,0.8,9.924633684936957,0,0,0,1,1,Stable,0,0,0,0,0,0,0,87.98893467362295,Bad,trauma_survivor
1,normal,8.5,1,0,8.074955533082123,1.0,4.537477766541062,3.1126550056284583,0,0,0,0,0,Stable,0,0,0,0,0,0,0,93.6913465982917,Good,low_risk
1,fast,12.0,1,0,3.1577872854384266,6.0,0.5939696122054895,10.0,1,0,0,1,2,Unstable,1,1,0,0,0,0,0,76.62036689381712,Good,trauma_survivor
0,normal,9.5,0,1,7.041697884054433,3.0,2.010424471013608,1.871000986768605,0,0,0,0,0,Stable,0,1,0,0,0,0,0,91.66050656269604,Good,low_risk
0,fast,6.5,0,1,6.897685329773369,1.0,3.9488426648866843,0.0,0,0,0,0,0,Stable,0,0,0,0,0,0,0,77.9982251084245,Good,low_risk
1,fast,17.0,0,0,3.0,5.0,0.6666666666666666,8.698574756991352,1,0,0,0,1,Stable,0,0,0,0,0,0,0,92.09474127590867,Good,anxious_honest
0,normal,14.0,1,1,3.856214255313497,3.0,1.2140535638283743,9.059248110082974,0,1,0,0,1,Stable,0,0,0,0,0,0,0,78.32976372277966,Good,anxious_honest
1,normal,10.5,1,0,7.4478823691037475,3.0,2.111970592275937,2.3588595523268334,0,0,0,1,1,Stable,0,0,0,0,0,0,0,96.54792292984638,Good,low_risk
0,fast,12.0,0,1,4.5007390563883645,2.0,1.8335796854627882,8.220741194900658,0,0,0,0,0,Stable,0,0,0,0,0,0,0,87.05076283904452,Good,anxious_honest
0,fast,7.5,1,0,4.53746910155051,5.0,0.922911516925085,7.718916394996064,0,1,0,0,1,Stable,0,1,1,0,1,1,0,24.166585487887914,Bad,deceptive
0,normal,7.5,0,0,4.603510721418184,2.0,1.8678369071393945,6.270052274425573,0,1,0,0,1,Unstable,1,1,1,1,1,1,1,11.040078748705449,Bad,deceptive
0,normal,8.5,0,0,8.09139870775891,3.0,2.2728496769397273,0.0,1,0,0,0,1,Stable,0,0,0,0,0,0,0,88.17845427321006,Good,low_risk
0,fast,18.0,0,0,5.114272443455437,2.0,2.038090814485146,6.054545645320266,0,0,0,0,0,Stable,0,0,0,0,0,0,0,99.10723236734817,Good,anxious_honest
1,fast,13.5,0,1,3.8411008685441446,2.0,1.6137002895147148,7.723086036289348,0,1,1,0,2,Unstable,1,0,0,0,0,1,0,50.00135686519049,Bad,volatile
1,normal,5.5,0,0,7.9814183826289495,0.0,8.981418382628949,0.6153154077934169,0,0,0,0,0,Stable,0,0,0,0,0,0,0,87.07388949347015,Good,low_risk
1,fast,16.5,1,1,3.0,5.0,0.6666666666666666,10.0,0,1,1,0,2,Unstable,0,0,1,0,0,1,0,62.84210008592733,Bad,volatile
1,fast,13.0,1,0,3.0,6.0,0.5714285714285714,10.0,1,1,0,0,2,Unstable,0,0,0,0,1,1,0,69.48605669507162,Bad,trauma_survivor
0,slow,11.5,1,0,6.75823817261104,2.0,2.5860793908703466,1.9207659796254082,0,0,0,0,0,Stable,0,0,0,0,0,1,0,88.27465889961894,Good,low_risk
1,fast,16.0,0,0,4.103824111041366,3.0,1.2759560277603414,7.3493996516196125,0,0,0,0,0,Unstable,0,0,0,0,0,0,0,94.78323646965944,Good,anxious_honest
1,fast,12.0,1,0,5.162470443993995,5.0,1.0270784073323325,7.401577586184903,0,0,0,0,0,Stable,0,0,0,0,0,0,0,95.20331015957923,Good,anxious_honest
1,normal,17.0,1,1,5.120591464218554,4.0,1.2241182928437109,8.187930470576871,0,1,0,0,1,Stable,0,0,0,0,0,0,0,88.47977178138851,Good,anxious_honest
1,fast,12.0,0,0,3.2620308741426105,3.0,1.0655077185356525,8.156195679192129,0,0,0,0,0,Stable,0,0,0,0,0,0,0,80.0017433317395,Good,anxious_honest
1,normal,8.5,0,0,7.251724871474495,3.0,2.0629312178686234,2.549180331557798,0,0,0,0,0,Stable,0,0,0,0,0,0,0,75.36989741475765,Good,low_risk
0,fast,15.5,0,1,6.691471401059465,4.0,1.5382942802118929,8.334410071223628,0,0,0,0,0,Stable,0,1,0,0,1,0,0,24.19490242997456,Bad,deceptive
0,slow,5.5,0,0,7.696002276968293,2.0,2.898667425656098,1.482443581387348,0,0,0,0,0,Stable,0,0,0,0,0,0,0,100.0,Good,low_risk
1,fast,15.0,0,1,5.157068450291772,2.0,2.0523561500972574,7.419730500096227,0,0,1,0,1,Stable,0,0,0,0,0,0,0,86.82056226252078,Good,anxious_honest
1,normal,17.5,1,1,3.8676790556848615,2.0,1.6225596852282873,9.435239533359685,1,1,1,0,3,Unstable,0,1,1,0,0,1,0,46.619911689040634,Bad,volatile
1,fast,13.0,1,1,4.139447533742143,4.0,1.0278895067484286,9.373748407080534,0,1,0,0,1,Unstable,0,0,0,0,0,0,0,98.24054673461195,Good,anxious_honest
1,normal,17.0,1,1,5.435107713146944,5.0,1.0725179521911572,9.976906001588901,0,0,0,0,0,Stable,0,0,0,0,0,1,0,86.57350022855933,Good,anxious_honest
